LSOA21CD,LSOA21NM,LSOA21LN,IMDScore,Income,Employment,EducationScore,CrimeScore,LivingEnvironmentScore,POP2022Total,Period_Total_Crimes,Crime_Rate
E01014720,Bristol 006C,Lake Road,16.83,19.5,13.5,8.2,0.1,20.8,1615,106,65.63467492260062
E01014721,Bristol 006D,Westbury North,6.58,10.6,8.9,0.6,-0.7,16.8,1743,179,102.69650028686173
E01014722,Bristol 052C,Tanorth Road,9.95,11.6,8.7,16.2,-0.3,12.9,1589,70,44.05286343612335
E01014723,Bristol 052D,Court Farm Road,7.29,7.8,6.4,15.8,-0.7,11.3,1382,113,81.76555716353111
E01014725,Bristol 052E,Whitchurch,4.69,7.5,5.9,11.5,-0.9,3.9,1472,24,16.304347826086957
E01014726,Bristol 053B,Hareclive,70.55,61.3,38.9,85.6,2.2,6.7,1692,504,297.8723404255319
E01014727,Bristol 053C,Bishport Avenue East,59.97,56.3,32.8,80.5,1.6,7.2,1593,332,208.41180163214062
E01014729,Bristol 040A,Marksbury Road,35.75,40.6,18.6,55.2,1.0,10.3,1832,156,85.1528384279476
E01014730,Bristol 037A,Lower Totterdown,23.95,22.7,11.9,10.7,1.1,36.5,1656,173,104.46859903381643
E01014731,Bristol 037B,Upper Totterdown,21.4,19.0,11.2,21.9,0.3,41.2,1589,78,49.08747640025173
E01014732,Bristol 037C,Wells Road,16.15,13.7,9.7,5.8,0.2,48.7,1690,65,38.46153846153847
E01014733,Bristol 040B,Windmill Hill West,10.35,15.1,6.4,6.4,-0.1,33.7,1848,90,48.701298701298704
